Number,episode_id,episode_title,guest_name,guest_role,company_at_time,year,ai_era,woman_leader,ai_depth,career_stage,prior_big_tech,prior_founder,domain_product_strategy,domain_growth,domain_decision_making,domain_discovery_innovation,domain_career_leadership,domain_gtm,domain_data_ai,domain_org_team,domain_founder_mode,
1,aPM-1,The new AI growth playbook for 2025: How Lovable hit $200M ARR in one year,Elena Verna,Head of Growth,Lovable,2025,post_ai,1,operational,vp_head,1,1,0,1,1,0,1,0,1,1,0,Check
2,aPM-2,"The Godmother of AI on jobs, robots & why world models are next",Fei-Fei Li,Chief Executive Officer,World Labs,2025,post_ai,1,ai_native,exec,1,1,0,0,1,1,1,0,1,0,1,
3,aPM-3,The woman behind Canva shares how she built a $42B company from nothing,Melanie Perkins,Chief Executive Officer,Canva,2025,post_ai,1,operational,exec,0,1,1,0,1,1,1,0,0,0,1,
4,aPM-4,How Block is becoming the most AI-native enterprise in the world,Dhanji R. Prasanna,Chief Technology Officer,Block,2025,post_ai,0,operational,exec,1,1,0,0,1,0,0,0,1,1,0,Check
5,aPM-5,"AI Engineering 101 with Chip Huyen (Nvidia, Stanford, Netlifx)",Chip Huyen,Researcher,Stealth Startup,2025,post_ai,1,ai_native,founder,1,1,1,0,1,1,0,0,1,0,0,Check
6,aPM-6,How Google built AI Mode in under a year and why Gemini is now beating ChatGPT,Robby Stein,VP of Product,Google,2025,post_ai,0,ai_native,vp_head,1,1,1,1,1,1,1,0,1,0,0,Check
7,aPM-7,Why AI evals are the hottest new skill for product builders,Hamel Husain; Shreya Shankar,Visiting Student Researcher,Google,2025,post_ai,1,operational,operator,1,0,1,0,1,1,0,0,1,0,0,
8,aPM-8,Pricing your AI product: Lessons from 400+ companies and 50 unicorns,Madhavan Ramanjujam,General Partner,49 Palms Ventures,2025,post_ai,0,operational,exec,0,0,1,1,1,0,0,1,0,0,1,Check
9,aPM-9,"Anthropic co-founder on quitting OpenAI, AGI predictions, $100M talent wards, 20% unemployment, and the nightmare scenarios keeping him up at night",Benjamin Mann,Member of Technical Staff,Anthropic,2025,post_ai,0,ai_native,senior_ic,1,1,1,0,1,0,1,0,1,0,1,
10,aPM-10,Rapidly test and validate any startup idea with the 2-day Foundation Sprint (from the creators of the Design Sprint),Jake Knapp; John Zeratsky,General Partner,Character,2025,post_ai,0,aware,founder,1,1,1,0,1,1,0,0,0,0,0,Check
11,aPM-11,Growth tactics from OpenAI and Stripe's first marketer,Krithika Shankarraman,Executive in Residence,Thrive Capital,2025,post_ai,1,ai_native,exec,1,0,0,1,1,0,1,1,0,0,0,
12,aPM-12,"Unconvential product lessons from Binance, N26, Google, more",Mayur Kamat,Chief Product Officer,N26,2025,post_ai,0,operational,exec,1,1,1,0,1,0,1,0,0,1,0,Check
13,aPM-13,Microsoft CPO: If you aren't prototyping with AI you're doing it wrong,Aparna Chennapragada,Chief Product Officer,Microsoft,2025,post_ai,1,ai_native,exec,1,0,1,0,1,1,1,0,1,0,0,
14,aPM-14,"How Revolut trains world-class product managers: The ""local CEO"" model, raw intellect over experience, and a cultural obsession with building wowproducts",Dmitry Zlokazov,Head of Retail Product,Revolut,2025,post_ai,0,operational,vp_head,0,1,1,0,1,1,1,0,0,1,0,Check
15,aPM-15,Building Lovable: $10M ARR in 60 days with 15 people,Anton Osika,Co-Founder,Lovable,2025,post_ai,0,ai_native,exec,0,1,1,1,1,1,1,0,1,1,1,
16,aPM-16,"The creator of WordPress opens up about becoming an internet villain, why he's taking a stand, ant the future of open source",Matt Mullenweg,Chief Executive Officer,Wordpress,2025,post_ai,0,operational,exec,1,1,0,0,1,0,1,0,1,1,1,
17,aPM-17,A founder's guide to crisis management,Uri Levine,Founder,Pontera,2025,post_ai,0,none,founder,1,1,0,0,1,0,0,0,0,0,1,
18,aPM-18,OpenAI researcher on why soft skills are the future of work,Karina Nguyen,Angel Investor,Stealth Startup,2025,post_ai,1,ai_native,founder,1,1,0,0,0,1,1,0,1,0,0,Check
19,aPM-19,An operator's guide to product strategy,Chandra janakiraman,Chief Product Officer,VRChat Inc.,2025,post_ai,0,aware,exec,1,1,1,0,1,0,0,0,0,0,0,Check
20,aPM-20,10 growth tactics that never work,Elena Verna,Head of Growth,Lovable,2025,post_ai,1,aware,exec,1,1,0,1,1,0,0,0,0,1,0,Check
21,aPM-21,Why great AI products are all about the data,Shaun Clowes,Chief Product Officer,Confluent,2024,post_ai,0,ai_native,exec,1,0,1,1,1,0,1,0,1,0,0,
22,aPM-22,Behind the product: Duoling streaks,Jackson Shuttleworth,Director of Product Management,Duolingo,2024,post_ai,0,operational,operator,0,0,1,1,1,1,0,0,0,0,0,
23,aPM-23,The ulitmate guide to founder-led sales,Jen Abel,General Manager,State Affairs,2024,post_ai,1,none,operator,0,1,0,1,1,0,0,1,0,0,1,
24,aPM-24,Behind the product: Replit,Amjad Masad,Chief Executive Officer,Replit,2024,post_ai,0,ai_native,exec,1,1,1,0,0,1,1,0,1,0,1,
